step,loss_stage_0,loss_stage_1,loss_stage_2,loss_stage_3
0.0,10.964102745056152,10.964102745056152,10.9641027451,10.9641
4.0,10.955840110778809,10.955840110778809,10.9558401108,10.9558
8.0,10.964770317077637,10.963101387023926,10.9631023407,10.963
12.0,10.95364761352539,10.952095985412598,10.952099800100001,10.952
16.0,10.956562042236328,10.95004940032959,10.950044632000001,10.9492
20.0,10.949616432189941,10.942852020263672,10.9428577423,10.9419
24.0,10.797664642333984,10.543264389038086,10.4740419388,10.5329
28.0,10.794268608093262,10.553502082824707,10.4814529419,10.5381
32.0,10.518221855163574,10.254956245422363,10.2212295532,10.2277
36.0,10.48284912109375,10.221583366394043,10.186293602,10.1879
40.0,10.39753246307373,10.146084785461426,10.121764183,10.1027
44.0,10.410284996032715,10.161545753479004,10.1378173828,10.1162
48.0,10.122536659240723,9.841325759887695,9.8233690262,9.7766
52.0,10.334941864013672,10.083205223083496,10.0681619644,10.0347
56.0,10.210012435913086,9.949167251586914,9.9385824203,9.8906
60.0,10.195622444152832,9.918099403381348,9.9062900543,9.8522
64.0,10.046690940856934,9.767007827758789,9.7588024139,9.6812
68.0,10.161788940429688,9.90093994140625,9.893723487900001,9.822
72.0,10.169313430786133,9.905041694641113,9.9018650055,10.1513
76.0,10.078766822814941,9.77864933013916,9.772936821,10.2172
80.0,10.05066204071045,9.736262321472168,9.7343845367,10.0153
84.0,10.072773933410645,9.762456893920898,9.7578659058,9.9253
88.0,9.9933500289917,9.661307334899902,9.6618766785,10.1253
92.0,10.079755783081055,9.7671480178833,9.7676486969,10.0223
96.0,9.945375442504883,9.559029579162598,9.5615224838,10.3372
100.0,10.035928726196289,9.69789981842041,10.1237,10.1450862885
104.0,9.984550476074219,9.566760063171387,10.1311,10.145655632
108.0,9.996950149536133,9.616874694824219,9.9735,9.9948854446
112.0,10.011188507080078,9.565577507019043,10.0099,10.0253009796
116.0,9.915130615234375,9.448238372802734,9.8221,9.8157939911
120.0,9.878451347351074,9.347455024719238,9.8326,9.820400238
124.0,9.952227592468262,9.4823579788208,9.9041,9.8859100342
128.0,10.013294219970703,9.499651908874512,9.9289,9.9074325562
132.0,9.936989784240723,9.376660346984863,9.7714,9.7424516678
136.0,9.945577621459961,9.376688003540039,9.7177,9.6761236191
140.0,9.802720069885254,9.178879737854004,9.7501,9.7116680145
144.0,9.911869049072266,9.3027925491333,9.7655,9.7256059647
148.0,9.882155418395996,9.249863624572754,9.4693,9.3993825912
152.0,9.834498405456543,9.17973804473877,9.7142,9.6753129959
156.0,9.832304954528809,9.199339866638184,9.6123,9.5566911697
160.0,9.749835014343262,9.049433708190918,9.5384,9.4821186066
164.0,9.762118339538574,9.069098472595215,9.3757,9.3194856644
168.0,9.832207679748535,9.177297592163086,9.5581,9.4818782806
172.0,9.775328636169434,9.093411445617676,9.5502,9.4782037735
176.0,9.713513374328613,9.028226852416992,9.4028,9.3297939301
180.0,9.703893661499023,8.986589431762695,9.3892,9.3057613373
184.0,9.652582168579102,8.932777404785156,9.3939,9.3075609207
188.0,9.749890327453613,9.012242317199707,9.298,9.2281885147
192.0,9.631924629211426,8.896149635314941,9.4078,9.3268909454
196.0,9.67945384979248,8.912309646606445,9.1851,9.0943412781
200.0,9.618483543395996,8.845552444458008,9.3221,9.2208156586
204.0,9.603128433227539,8.852789878845215,9.2159,9.1209468842
208.0,9.54244613647461,8.786474227905273,9.2568,9.170964241
212.0,9.573563575744629,8.787845611572266,9.1981,9.1013917923
216.0,9.55387020111084,8.743562698364258,9.0656,8.9613294601
220.0,9.576906204223633,8.763834953308105,8.9955,8.8769674301
224.0,9.52262020111084,8.704736709594727,9.1041,8.9181957245
228.0,9.484380722045898,8.673872947692871,9.1652,9.0457210541
232.0,9.477043151855469,8.714127540588379,9.0294,8.9325752258
236.0,9.498312950134277,8.70154857635498,9.0268,8.9322519302
240.0,9.43698787689209,8.566141128540039,8.8036,8.6871795654
244.0,9.436396598815918,8.602093696594238,8.9531,8.8247585297
248.0,9.375502586364746,8.527019500732422,8.8632,8.7768831253
252.0,9.470765113830566,8.640832901000977,8.8391,8.736084938
256.0,9.460326194763184,8.61528205871582,8.8286,8.7184896469
260.0,9.308818817138672,8.425804138183594,8.6792,8.5680084229
264.0,9.346099853515625,8.544700622558594,8.7332,8.6037340164
268.0,9.396136283874512,8.509444236755371,8.8307,8.7048168182
272.0,9.227873802185059,8.336528778076172,8.7422,8.6130008698
276.0,9.40670394897461,8.541071891784668,8.6361,8.4822740555
280.0,9.203059196472168,8.247832298278809,8.6231,8.5156641006
284.0,9.317230224609375,8.447237014770508,8.5412,8.396566391
288.0,9.307234764099121,8.391484260559082,8.6691637039,8.5513010025
292.0,9.294366836547852,8.440654754638672,8.6573762894,8.5172481537
296.0,9.235115051269531,8.314725875854492,8.517326355,8.3957061768
300.0,9.246977806091309,8.381620407104492,8.5775651932,8.454662323
304.0,9.232623100280762,8.28625202178955,8.2973308563,8.1669216156
308.0,9.283980369567871,8.404133796691895,8.3936786652,8.2393093109
312.0,9.199251174926758,8.304459571838379,8.4623289108,8.3372030258
316.0,9.204317092895508,8.282256126403809,8.5300598145,8.3219451904
320.0,9.191361427307129,8.289917945861816,8.4878015518,8.3552074432
324.0,9.188324928283691,8.284297943115234,8.4789056778,8.3259353638
328.0,9.094429016113281,8.138693809509277,8.3289527893,8.2008924484
332.0,9.135347366333008,8.220206260681152,8.3858985901,8.2580518723
336.0,8.934300422668457,7.922017574310303,8.1118755341,7.9526977539
340.0,8.979822158813477,8.032647132873535,8.2173347473,8.0444202423
344.0,9.064849853515625,8.115530014038086,8.2807912827,8.1413812637
348.0,9.047645568847656,8.12840747833252,8.2860898972,8.1318082809
352.0,9.023900985717773,8.146369934082031,8.2816314697,8.1570892334
356.0,8.970602035522461,8.106060981750488,8.256986617999999,8.1035661697
360.0,9.044608116149902,8.179878234863281,8.3153734207,8.1801233292
364.0,9.04975700378418,8.182271957397461,8.3117036819,8.1701211929
368.0,8.838635444641113,7.960468292236328,8.0979576111,7.9449458122
372.0,8.99194622039795,8.058379173278809,8.1915826797,8.0721302032
376.0,8.941762924194336,8.087106704711914,8.2176876068,8.0586137772
380.0,8.845132827758789,7.9294915199279785,8.067779541,7.9042072296
384.0,8.755197525024414,7.80320930480957,7.9045171738,7.7444033623
388.0,8.89935302734375,7.994194984436035,8.0917863846,7.9302940369
392.0,8.915081024169922,8.00872802734375,8.1320476532,7.9716653824
396.0,8.804282188415527,7.884252548217773,7.9857530594,7.8196778297
400.0,8.864326477050781,8.019259452819824,8.1139593124,7.9684691429
404.0,8.868507385253906,8.03586483001709,8.1508598328,7.9821176529
408.0,8.799311637878418,7.942699909210205,8.035068512,7.8815994263
412.0,8.901535987854004,8.05957317352295,8.1533565521,7.9903254509
416.0,8.7455472946167,7.870759010314941,7.9568252563,7.7912192345
420.0,8.817157745361328,7.959248065948486,8.0540971756,7.8614702225
424.0,8.832026481628418,8.010420799255371,8.096818924,7.9309849739
428.0,8.815335273742676,7.987393856048584,8.0610141754,7.8912777901
432.0,8.823887825012207,7.987721920013428,8.0633172989,7.9006533623
436.0,8.675030708312988,7.758614540100098,7.8322019577,7.6389994621
440.0,8.692998886108398,7.861263751983643,7.8993792534,7.7076911926000005
444.0,8.6664400100708,7.852710247039795,7.9014687538,7.6886987686
448.0,8.869869232177734,8.159605979919434,8.2039175034,8.0364332199
452.0,8.768524169921875,8.002949714660645,8.0454349518,7.8878273964000005
456.0,8.77841567993164,8.017087936401367,8.0596857071,7.8876981735000005
460.0,8.556427955627441,7.675101280212402,7.7354245186,7.5465807915
464.0,8.715620040893555,7.976445198059082,8.0197601318,7.8150248528
468.0,8.63105583190918,7.785647392272949,7.8268780708,7.6541786194
472.0,8.688947677612305,7.937944412231445,7.9762434959,7.7902803421
476.0,8.613544464111328,7.804375171661377,7.8557090759,7.6660523415
